,path
0,sequences/NGEPerStandDraft_9_1074522.scaffolds.fasta_scaffold06760_2-7-320.fasta
1,sequences/UPI0008453E13-64-481.fasta
2,sequences/UPI0003FE355E-48-405.fasta
3,sequences/1185.fasta_scaffold73387_1-3-365.fasta
4,sequences/UPI00081C7267-23-410.fasta
5,sequences/UPI0001A7B09B-36-461.fasta
6,sequences/KBSMisStaDraftv2_1062788.scaffolds.fasta_scaffold100959_2-27-413.fasta
7,sequences/UPI00052CCBC4-20-407.fasta
8,sequences/JFJP01.1.fsa_nt_gi|907592733|gb|JFJP01038854.1|_5-25-339.fasta
9,sequences/SoimicMinimDraft_3_1059731.scaffolds.fasta_scaffold04316_2-47-326.fasta
10,sequences/UPI000868A158-7-410.fasta
11,sequences/HubBroStandDraft_2_1064218.scaffolds.fasta_scaffold18155_4-58-359.fasta
12,sequences/UPI0004922D0A-58-515.fasta
13,sequences/O1105metagenome_2_1110794.scaffolds.fasta_scaffold00797_19-26-429.fasta
14,sequences/GraSoiStandDraft_41_1057321.scaffolds.fasta_scaffold219104_2-55-380.fasta
15,sequences/UPI000409A274-33-434.fasta
16,sequences/UPI00069C6FFF-254-671.fasta
17,sequences/RhiMethySRZTD1v2_1073278.scaffolds.fasta_scaffold597575_1-61-349.fasta
18,sequences/MudIll2142460700_1097286.scaffolds.fasta_scaffold386736_1-2-332.fasta
19,sequences/tagenome__1003787_1003787.scaffolds.fasta_scaffold20964889_1-45-376.fasta
20,sequences/UPI0001B6402B-59-480.fasta
21,sequences/OM-RGC.v1.001948478-37-442.fasta
22,sequences/APHig6443717497_1056834.scaffolds.fasta_scaffold186529_1-3-290.fasta
23,sequences/LFRM01.1.fsa_nt_gb|LFRM01269829.1|_2-73-348.fasta
24,sequences/InofroStandDraft_1065614.scaffolds.fasta_scaffold00705_27-151-467.fasta
25,sequences/UPI00040D3853-22-402.fasta
26,sequences/KBSMisStaDraftv2_1062788.scaffolds.fasta_scaffold30710_4-27-319.fasta
27,sequences/SwirhisoilCB2_FD_contig_123_61231_length_2085_multi_8_in_0_out_1_1-306-602.fasta
28,sequences/UPI00035B4B08-57-436.fasta
29,sequences/MDSV01.2.fsa_nt_gb|MDSV01151232.1|_19-26-419.fasta
30,sequences/KBSSwiStaDraftv2_1062776.scaffolds.fasta_scaffold408056_1-7-280.fasta
31,sequences/UPI0001B16467-63-366.fasta
32,sequences/GraSoiStandDraft_5_1057265.scaffolds.fasta_scaffold185366_1-70-352.fasta
33,sequences/GraSoiStandDraft_41_1057321.scaffolds.fasta_scaffold754069_1-64-343.fasta
34,sequences/UPI0008B5550B-141-513.fasta
35,sequences/HubBroStandDraft_4_1064222.scaffolds.fasta_scaffold56390_2-50-351.fasta
36,sequences/LNAP01.1.fsa_nt_gb|LNAP01059089.1|_1-24-347.fasta
37,sequences/UPI00069E92D3-254-588.fasta
38,sequences/TergutCu122P5_1016488.scaffolds.fasta_scaffold2210029_2-111-548.fasta
39,sequences/UPI00083296AD-43-421.fasta
40,sequences/UPI0005443C34-22-432.fasta
41,sequences/UPI00031C7F05-44-358.fasta
42,sequences/UPI0006B8C00B-16-426.fasta
43,sequences/UPI00044949D3-91-390.fasta
44,sequences/EndMetStandDraft_8_1072994.scaffolds.fasta_scaffold54902_3-63-346.fasta
45,sequences/TergutCu122P5_1016488.scaffolds.fasta_scaffold1887374_2-21-332.fasta
46,sequences/KBSMisStandDraft_5_1062788.scaffolds.fasta_scaffold01628_5-31-352.fasta
47,sequences/CryGeyStandDraft_7_1057128.scaffolds.fasta_scaffold07955_2-371-713.fasta
48,sequences/UPI000595F61B-31-394.fasta
49,sequences/DewCreStandDraft_4_1066084.scaffolds.fasta_scaffold06335_11-62-353.fasta
50,sequences/OM-RGC.v1.004844533-10-291.fasta
51,sequences/APAra7269097559_1048567.scaffolds.fasta_scaffold05983_1-64-348.fasta
52,sequences/UPI000724853E-330-607.fasta
53,sequences/GraSoiStandDraft_30_1057271.scaffolds.fasta_scaffold04824_9-75-377.fasta
54,sequences/UPI0006FF0808-14-370.fasta
55,sequences/UPI00053FE4FA-68-486.fasta
56,sequences/UPI0005C0FFA4-322-708.fasta
57,sequences/NGEPerStandDraft_5_1074534.scaffolds.fasta_scaffold24181_1-44-377.fasta
58,sequences/Go1ome_4_1110791.scaffolds.fasta_scaffold02281_10-27-421.fasta
59,sequences/UPI000775A734-57-460.fasta
60,sequences/UPI000733EEC1-407-662.fasta
61,sequences/RifOxyC2_1024027.scaffolds.fasta_scaffold00092_26-27-297.fasta
62,sequences/DewCreStandDraft_4_1066084.scaffolds.fasta_scaffold00944_44-5-320.fasta
63,sequences/JFJP01.1.fsa_nt_gi|907609513|gb|JFJP01036553.1|_7-110-514.fasta
64,sequences/UPI0003CDD2A1-40-399.fasta
65,sequences/UPI0001F0EF1F-19-412.fasta
66,sequences/UPI00081CDBC9-124-426.fasta
67,sequences/UPI00070DA916-123-447.fasta
68,sequences/UPI000800B593-45-339.fasta
69,sequences/UPI0008D2985E-28-482.fasta
70,sequences/SoiMethySBSTD1v2_1073268.scaffolds.fasta_scaffold08690_8-28-413.fasta
71,sequences/APLak6261699823_1056247.scaffolds.fasta_scaffold05850_2-32-359.fasta
72,sequences/APHig6443718053_1056840.scaffolds.fasta_scaffold03331_6-25-422.fasta
73,sequences/JI10StandDraft_1071094.scaffolds.fasta_scaffold68680_2-62-309.fasta
74,sequences/UPI00021A2D4B-70-437.fasta
75,sequences/UPI00052EE6F7-51-474.fasta
76,sequences/LakMenEpi03Aug12_release.lakeMendotaPanAssembly.Ray.scaffolds.fasta_scaffold218747_2-27-419.fasta
77,sequences/UPI00076F1000-63-340.fasta
78,sequences/APAra7269096613_1048513.scaffolds.fasta_scaffold00105_38-43-382.fasta
79,sequences/UPI0006C55748-58-421.fasta
80,sequences/APCry1669191812_1035378.scaffolds.fasta_scaffold01731_3-57-319.fasta
81,sequences/UPI0007728232-33-487.fasta
82,sequences/NGEPerStandDraft_6_1074524.scaffolds.fasta_scaffold07019_2-61-329.fasta
83,sequences/307.fasta_scaffold105185_1-20-407.fasta
84,sequences/AraplaMF_Col_mMF_1032025.scaffolds.fasta_scaffold00762_15-72-368.fasta
85,sequences/GraSoiStandDraft_29_1057270.scaffolds.fasta_scaffold04959_4-28-391.fasta
86,sequences/tagenome__1003787_1003787.scaffolds.fasta_scaffold20351002_1-23-296.fasta
87,sequences/OM-RGC.v1.004034573-62-353.fasta
88,sequences/SoiMethySBSTD1v2_1073268.scaffolds.fasta_scaffold1169356_1-27-316.fasta
89,sequences/UPI0001C1809C-65-391.fasta
90,sequences/TergutCu122P5_1016488.scaffolds.fasta_scaffold1621987_1-42-391.fasta
91,sequences/JFJP01.1.fsa_nt_gi|907605641|gb|JFJP01037022.1|_48-54-453.fasta
92,sequences/HubBroStandDraft_4_1064222.scaffolds.fasta_scaffold334902_1-29-306.fasta
93,sequences/UPI0004C6AAD5-36-401.fasta
94,sequences/NGEPerStandDraft_6_1074524.scaffolds.fasta_scaffold00902_4-59-349.fasta
95,sequences/GraSoiStandDraft_11_1057310.scaffolds.fasta_scaffold65598_2-1-294.fasta
96,sequences/UPI00047EDD11-36-440.fasta
97,sequences/UPI00033EFC51-76-431.fasta
98,sequences/UPI0004864941-21-404.fasta
99,sequences/GraSoiStandDraft_51_1057287.scaffolds.fasta_scaffold15148_4-18-295.fasta
100,sequences/LFRM01.1.fsa_nt_gb|LFRM01188644.1|_2-98-439.fasta
101,sequences/UPI0004D2A478-397-743.fasta
102,sequences/UPI00043C87DE-28-416.fasta
103,sequences/UPI000669B99D-61-423.fasta
104,sequences/UPI0001E07089-25-435.fasta
105,sequences/RhiMethySRZTD1v2_1073278.scaffolds.fasta_scaffold12439_3-39-332.fasta
106,sequences/UPI000887E370-56-441.fasta
107,sequences/UPI00063E2E91-46-367.fasta
108,sequences/UPI000666CCE2-46-427.fasta
109,sequences/UPI000507FAA0-118-533.fasta
110,sequences/UPI000331C536-160-517.fasta
111,sequences/1048.fasta_scaffold10779_2-18-419.fasta
112,sequences/UPI0008317DF5-81-382.fasta
113,sequences/TergutMp193P3_1026864.scaffolds.fasta_scaffold00522_4-50-372.fasta
114,sequences/JFJP01.1.fsa_nt_gi|907632673|gb|JFJP01032965.1|_5-41-351.fasta
115,sequences/UPI0003AAE46E-59-417.fasta
116,sequences/RhiMetStandDraft_4_1073278.scaffolds.fasta_scaffold35132_1-20-403.fasta
117,sequences/MDTG01.2.fsa_nt_gb|MDTG01177456.1|_3-42-362.fasta
118,sequences/UPI0007658FD5-37-408.fasta
119,sequences/UPI0004EDC979-36-461.fasta
120,sequences/UPI00037781AB-85-424.fasta
121,sequences/UPI0006C99129-81-502.fasta
122,sequences/UPI0001BD5AB5-93-535.fasta
123,sequences/GraSoiStandDraft_16_1057320.scaffolds.fasta_scaffold461348_1-20-352.fasta
124,sequences/GraSoiStandDraft_4_1057263.scaffolds.fasta_scaffold118066_2-48-339.fasta
125,sequences/UPI0006FFB619-53-364.fasta
126,sequences/UPI00016583DA-277-620.fasta
127,sequences/APMI01.1.fsa_nt_gi|494328957|gb|APMI01086446.1|_1-151-464.fasta
128,sequences/UPI00039669D9-38-326.fasta
129,sequences/UPI0008B3AAC4-24-423.fasta
130,sequences/SoiMethySBSTD1v2_1073268.scaffolds.fasta_scaffold04269_11-48-366.fasta
131,sequences/JI10StandDraft_1071094.scaffolds.fasta_scaffold26795_6-26-326.fasta
132,sequences/WetSurMetagenome_2_1015567.scaffolds.fasta_scaffold01248_2-42-376.fasta
133,sequences/UPI0002545222-114-527.fasta
134,sequences/UPI0001571D02-202-486.fasta
135,sequences/UPI000260325D-75-431.fasta
136,sequences/UPI00072B6F81-338-667.fasta
137,sequences/LAZR01.1.fsa_nt_gi|816780844|gb|LAZR01000765.1|_6-38-409.fasta
138,sequences/UPI0004644626-264-606.fasta
139,sequences/AraplaDrversion2_2_1032049.scaffolds.fasta_scaffold10899_2-37-361.fasta
140,sequences/UPI00089AC16C-71-389.fasta
141,sequences/APCry1669189534_1035231.scaffolds.fasta_scaffold10578_2-57-328.fasta
142,sequences/UPI000784C079-375-683.fasta
143,sequences/UPI00015FE786-157-419.fasta
144,sequences/UPI00088B08ED-17-296.fasta
145,sequences/UPI0008C01A0C-60-354.fasta
146,sequences/UPI00039B1F2E-148-437.fasta
147,sequences/AntAceMinimDraft_15_1070371.scaffolds.fasta_scaffold02249_2-483-839.fasta
148,sequences/UPI000826A741-11-344.fasta
149,sequences/UPI00058893A9-72-340.fasta
150,sequences/UPI00086DE6E6-367-756.fasta
151,sequences/UPI00081515E4-70-426.fasta
152,sequences/UPI0002E048E6-38-422.fasta
153,sequences/P827metagenome_2_1110787.scaffolds.fasta_scaffold47128_1-1-261.fasta
154,sequences/APLak6261692095_1056202.scaffolds.fasta_scaffold00012_95-45-362.fasta
155,sequences/DEB0MinimDraft_10_1074344.scaffolds.fasta_scaffold02775_2-51-366.fasta
156,sequences/RhiMetdeSRZDD1v2_1073273.scaffolds.fasta_scaffold00014_74-33-378.fasta
157,sequences/OM-RGC.v1.000699656-41-358.fasta
158,sequences/JI8StandDraft_2_1071088.scaffolds.fasta_scaffold38507_1-28-413.fasta
159,sequences/UPI000816D3A0-30-348.fasta
160,sequences/WetSurMetagenome_2_1015567.scaffolds.fasta_scaffold11396_2-57-331.fasta
161,sequences/UPI0002563629-28-411.fasta
162,sequences/PlaIllAssembly_1097288.scaffolds.fasta_scaffold181399_1-49-295.fasta
163,sequences/UPI0007003B95-26-353.fasta
164,sequences/HubBroStandDraft_1064217.scaffolds.fasta_scaffold01263_9-356-606.fasta
165,sequences/YelNatPaOPRAMG01_1025707.scaffolds.fasta_scaffold40211_2-28-361.fasta
166,sequences/GraSoiStandDraft_30_1057271.scaffolds.fasta_scaffold12722_2-410-740.fasta
167,sequences/UPI0001622CFC-81-500.fasta
168,sequences/KBSSwiStaDraftv2_1062776.scaffolds.fasta_scaffold213746_2-35-346.fasta
169,sequences/UPI000874D785-537-891.fasta
170,sequences/UPI0005894C36-26-432.fasta
171,sequences/UPI000248F62C-72-388.fasta
172,sequences/UPI0007DA6DA0-25-390.fasta
173,sequences/UPI0003402CDD-48-379.fasta
174,sequences/UPI0006C63605-72-354.fasta
175,sequences/UPI0008D64E02-22-411.fasta
176,sequences/UPI0004F0F2D8-87-458.fasta
177,sequences/SoiMethySBSTD1v2_1073268.scaffolds.fasta_scaffold02128_6-21-410.fasta
178,sequences/UPI0006AE976E-26-436.fasta
179,sequences/APFre7841882654_1041346.scaffolds.fasta_scaffold00859_2-53-324.fasta
180,sequences/ETNmetMinimDraft_22_1059887.scaffolds.fasta_scaffold12154_1-35-347.fasta
181,sequences/ETNmetMinimDraft_11_1059920.scaffolds.fasta_scaffold20383_1-36-325.fasta
182,sequences/UPI0003DFF889-38-301.fasta
183,sequences/UPI0005530B61-17-425.fasta
184,sequences/UPI000442529F-21-551.fasta
185,sequences/UPI00024E8E82-27-408.fasta
186,sequences/UPI000400F239-69-365.fasta
187,sequences/DewCreStandDraft_1066081.scaffolds.fasta_scaffold01387_10-12-304.fasta
188,sequences/Tabmets5t2r1_1033131.scaffolds.fasta_scaffold06603_2-23-413.fasta
189,sequences/JI10StandDraft_1071094.scaffolds.fasta_scaffold77883_2-55-337.fasta
190,sequences/UPI00088093A1-39-387.fasta
191,sequences/TergutMp193P3_1026864.scaffolds.fasta_scaffold26789_2-4-315.fasta
192,sequences/LFRM01.1.fsa_nt_gb|LFRM01196115.1|_45-66-334.fasta
193,sequences/KBSMisStandDraft_5_1062788.scaffolds.fasta_scaffold400575_1-40-320.fasta
194,sequences/UPI00050F4186-19-436.fasta
195,sequences/UPI0003ACF4EC-19-412.fasta
196,sequences/APLak6261690433_1056193.scaffolds.fasta_scaffold00177_4-48-310.fasta
197,sequences/AraplaCL_Col_mCL_1032037.scaffolds.fasta_scaffold00004_140-45-350.fasta
198,sequences/GraSoiStandDraft_34_1057297.scaffolds.fasta_scaffold246603_1-39-328.fasta
199,sequences/UPI0004A216AE-82-528.fasta
200,sequences/APCry4251928382_1046606.scaffolds.fasta_scaffold13881_2-65-379.fasta
201,sequences/UPI0006624710-32-379.fasta
202,sequences/UPI0006240176-108-506.fasta
203,sequences/SoimicmetaTmtLPA_FD_contig_121_9181_length_2847_multi_4_in_0_out_0_2-30-408.fasta
204,sequences/RifCSPhighO2_02_1023873.scaffolds.fasta_scaffold23372_2-125-468.fasta
205,sequences/BogFormECP12_OM2_1039638.scaffolds.fasta_scaffold49902_1-15-340.fasta
206,sequences/UPI00070EC4C1-64-458.fasta
207,sequences/L827metagenome_2_1110789.scaffolds.fasta_scaffold00487_44-56-414.fasta
208,sequences/UPI0008286134-78-460.fasta
209,sequences/UPI0001FC12A1-24-421.fasta
210,sequences/UPI0008BDF29B-50-363.fasta
211,sequences/JRYF01.1.fsa_nt_gb|JRYF01009307.1|_2-12-392.fasta
212,sequences/HubBroStandDraft_2_1064218.scaffolds.fasta_scaffold19753_2-37-317.fasta
213,sequences/UPI0008308A9E-31-427.fasta
214,sequences/APWor3302396380_1045249.scaffolds.fasta_scaffold00628_1-1402-1738.fasta
215,sequences/UPI0002251C19-262-649.fasta
216,sequences/InofroStandDraft_1065614.scaffolds.fasta_scaffold27168_2-41-349.fasta
217,sequences/UPI000274E965-23-361.fasta
218,sequences/UPI0007B483C7-8-353.fasta
219,sequences/APAga8741244001_1050109.scaffolds.fasta_scaffold00350_15-34-436.fasta
220,sequences/UPI0007BCAF05-35-327.fasta
221,sequences/FLMP01.1.fsa_nt_emb|FLMP01001244.1|_4-70-347.fasta
222,sequences/UPI0001AAB9A0-16-422.fasta
223,sequences/UPI0003F815E5-20-430.fasta
224,sequences/UPI00031AAB2A-64-384.fasta
225,sequences/GraSoiStandDraft_39_1057311.scaffolds.fasta_scaffold151281_1-54-342.fasta
226,sequences/InofroStandDraft_1065614.scaffolds.fasta_scaffold02973_22-24-424.fasta
227,sequences/UPI0007B2154E-36-502.fasta
228,sequences/DewCreStandDraft_4_1066084.scaffolds.fasta_scaffold06645_6-53-360.fasta
229,sequences/UPI00041263E8-159-414.fasta
230,sequences/UPI0006ED252F-59-386.fasta
231,sequences/UPI000501F20B-34-442.fasta
232,sequences/UPI0007A8BB79-55-411.fasta
233,sequences/UPI0003D91437-48-469.fasta
234,sequences/UPI000392A1EE-49-307.fasta
235,sequences/SoimicmetaTmtLAA_FD_contig_91_80836_length_1490_multi_3_in_0_out_0_1-32-310.fasta
236,sequences/UPI00033752EB-28-432.fasta
237,sequences/PorBlaMBantryBay_2_1084458.scaffolds.fasta_scaffold07229_5-45-367.fasta
238,sequences/UPI0003D89992-39-398.fasta
239,sequences/DewCreStandDraft_4_1066084.scaffolds.fasta_scaffold01276_34-62-361.fasta
240,sequences/UPI00068CE936-27-313.fasta
241,sequences/ETNmetMinimDraft_32_1059908.scaffolds.fasta_scaffold10385_3-29-411.fasta
242,sequences/UPI00043EE894-199-510.fasta
243,sequences/DewCreStandDraft_4_1066084.scaffolds.fasta_scaffold123543_2-40-324.fasta
