,path
0,sequences/LNFM01.1.fsa_nt_gb|LNFM01004881.1|_17-40-424.fasta
1,sequences/UPI0008C80ABE-90-359.fasta
2,sequences/LNAP01.1.fsa_nt_gb|LNAP01000096.1|_42-51-438.fasta
3,sequences/UPI00052BB054-19-440.fasta
4,sequences/UPI000560D4C1-51-393.fasta
5,sequences/UPI00068B8A69-68-427.fasta
6,sequences/UPI0005B13D50-251-631.fasta
7,sequences/UPI0002A6FCB0-20-422.fasta
8,sequences/UPI00058156CF-72-497.fasta
9,sequences/UPI000226E01B-84-486.fasta
10,sequences/UPI0007EB3736-20-309.fasta
11,sequences/GraSoiStandDraft_35_1057300.scaffolds.fasta_scaffold26259_1-16-374.fasta
12,sequences/UPI000260108C-17-332.fasta
13,sequences/UPI000391D4E1-935-1340.fasta
14,sequences/Go1ome_3_1110792.scaffolds.fasta_scaffold12537_2-30-420.fasta
15,sequences/UPI0008591C32-43-460.fasta
16,sequences/Go1ome_4_1110791.scaffolds.fasta_scaffold07256_1-106-380.fasta
17,sequences/UPI000503407C-27-423.fasta
18,sequences/APCry1669188879_1035177.scaffolds.fasta_scaffold13226_2-245-587.fasta
19,sequences/UPI0007C6A9FD-62-390.fasta
20,sequences/UPI00032EB198-22-434.fasta
21,sequences/HubBroStandDraft_3_1064219.scaffolds.fasta_scaffold118394_1-19-294.fasta
22,sequences/UPI0005B7A7D2-32-383.fasta
23,sequences/JRER01.1.fsa_nt_gi|682734488|gb|JRER01000756.1|_16-23-361.fasta
24,sequences/UPI0004DCDADB-24-412.fasta
25,sequences/UPI00020D3F2F-276-569.fasta
26,sequences/UPI0002B41036-56-467.fasta
27,sequences/UPI0001B1A145-52-358.fasta
28,sequences/RhiMetdeSRZDD1v2_1073273.scaffolds.fasta_scaffold41155_3-38-332.fasta
29,sequences/LAZR01.1.fsa_nt_gi|816796473|gb|LAZR01000362.1|_38-122-385.fasta
30,sequences/GraSoiStandDraft_16_1057320.scaffolds.fasta_scaffold124026_2-25-403.fasta
31,sequences/UPI000827C921-65-401.fasta
32,sequences/UPI00029F4792-50-692.fasta
33,sequences/OM-RGC.v1.000406429-372-647.fasta
34,sequences/UPI000176D672-489-874.fasta
35,sequences/UPI00054E7746-36-346.fasta
36,sequences/OM-RGC.v1.006234962-21-307.fasta
37,sequences/UPI0003EA0B59-574-937.fasta
38,sequences/RhiMetdeSRZDD1v2_1073273.scaffolds.fasta_scaffold336410_1-252-576.fasta
39,sequences/UPI00003D41A5-35-395.fasta
40,sequences/UPI0002579E0A-33-367.fasta
41,sequences/UPI0007DCB2B8-73-485.fasta
42,sequences/UPI0002436794-38-386.fasta
43,sequences/UPI0008B91467-24-402.fasta
44,sequences/UPI0007DCACED-57-481.fasta
45,sequences/UPI0000DD980F-56-454.fasta
46,sequences/UPI0008B60B33-134-439.fasta
47,sequences/UPI00039C3F6B-261-668.fasta
48,sequences/tagenome__1003787_1003787.scaffolds.fasta_scaffold20800121_2-48-322.fasta
49,sequences/UPI0008342534-22-424.fasta
50,sequences/1185.fasta_scaffold307461_1-7-289.fasta
51,sequences/APThiThiocy_cv2_1041547.scaffolds.fasta_scaffold01660_21-36-307.fasta
52,sequences/UPI00033D6DC2-53-415.fasta
53,sequences/AMZC01.1.fsa_nt_AMZC01006200.1_3-71-376.fasta
54,sequences/UPI0008125DA0-27-407.fasta
55,sequences/UPI00048B0820-108-413.fasta
56,sequences/UPI00049C2BDA-45-469.fasta
57,sequences/UPI000628A533-26-447.fasta
58,sequences/UPI0007BDC26C-77-528.fasta
59,sequences/UPI000315949C-74-380.fasta
60,sequences/UPI0000390F6E-73-392.fasta
61,sequences/UPI0003926669-20-436.fasta
62,sequences/JYMV01.1.fsa_nt_gi|819851835|gb|JYMV01028292.1|_2-227-519.fasta
63,sequences/UPI00049D5CCC-56-327.fasta
64,sequences/UPI00058139E2-50-452.fasta
65,sequences/TergutMp193P3_1026864.scaffolds.fasta_scaffold71197_2-13-316.fasta
66,sequences/UPI0006FB16C8-21-350.fasta
67,sequences/UPI000795BA5C-60-335.fasta
68,sequences/UPI0002F4426E-70-341.fasta
69,sequences/UPI0005396803-73-372.fasta
70,sequences/UPI000653281A-67-348.fasta
71,sequences/SoiMethySBSTD1v2_1073268.scaffolds.fasta_scaffold582881_2-55-362.fasta
72,sequences/UPI000465568B-43-321.fasta
73,sequences/UPI00065F0833-27-413.fasta
74,sequences/1185.fasta_scaffold16313_2-31-418.fasta
75,sequences/UPI0002C2BB89-64-373.fasta
76,sequences/UPI00051B2F48-77-437.fasta
77,sequences/UPI0001D20092-21-431.fasta
78,sequences/UPI00089484F0-61-323.fasta
79,sequences/UPI00070D503C-32-318.fasta
80,sequences/WetSurMetagenome_2_1015567.scaffolds.fasta_scaffold49378_1-2-318.fasta
81,sequences/UPI000852182A-64-381.fasta
82,sequences/GraSoiStandDraft_41_1057321.scaffolds.fasta_scaffold1176021_1-31-343.fasta
83,sequences/DewCreStandDraft_4_1066084.scaffolds.fasta_scaffold00177_4-21-409.fasta
84,sequences/UPI00088B807D-22-414.fasta
85,sequences/YelNatPaOPRAMG01_1025707.scaffolds.fasta_scaffold00425_12-53-312.fasta
86,sequences/UPI00017E2E24-69-396.fasta
87,sequences/UPI0004408938-83-345.fasta
88,sequences/UPI0008BFA401-21-355.fasta
89,sequences/UPI00025677F9-9-299.fasta
90,sequences/OrbTnscriptome_2_FD_contig_41_872925_length_1828_multi_4_in_0_out_0_1-110-555.fasta
91,sequences/UPI0008396832-38-410.fasta
92,sequences/OM-RGC.v1.000250026-3-306.fasta
93,sequences/EndMetStandDraft_2_1072991.scaffolds.fasta_scaffold19399_1-16-371.fasta
94,sequences/LSQX01.3.fsa_nt_gb|LSQX01315138.1|_2-3-348.fasta
95,sequences/688.fasta_scaffold257944_1-323-598.fasta
96,sequences/SaaInl74LU_5_DNA_1037368.scaffolds.fasta_scaffold01989_5-61-316.fasta
97,sequences/UPI00082B872D-13-361.fasta
98,sequences/FreactcultureFD7_1027221.scaffolds.fasta_scaffold01034_8-29-339.fasta
99,sequences/UPI00087EFB23-159-482.fasta
100,sequences/UPI000599D0FC-92-433.fasta
101,sequences/UPI0004C0C2B8-67-370.fasta
102,sequences/UPI00047859A6-26-412.fasta
103,sequences/GraSoiStandDraft_24_1057298.scaffolds.fasta_scaffold385488_1-13-258.fasta
104,sequences/UPI0002759707-53-497.fasta
105,sequences/Dee2metaT_20_FD_contig_41_162333_length_1503_multi_3_in_0_out_0_1-76-386.fasta
106,sequences/UPI0005C13B62-35-346.fasta
107,sequences/JI7StandDraft_1071085.scaffolds.fasta_scaffold151618_1-27-315.fasta
108,sequences/UPI000504C17A-51-397.fasta
109,sequences/UPI000194ABA5-24-432.fasta
110,sequences/UPI000898C449-71-432.fasta
111,sequences/UPI0006F9D1BA-328-577.fasta
112,sequences/GraSoiStandDraft_49_1057285.scaffolds.fasta_scaffold20933_1-420-751.fasta
113,sequences/RhiMetdeSRZDD1v2_1073273.scaffolds.fasta_scaffold181313_2-59-390.fasta
114,sequences/UPI000238F53F-60-303.fasta
115,sequences/APThiThiocy_cv2_1041547.scaffolds.fasta_scaffold84136_1-1-375.fasta
116,sequences/ThiBioDrversion2_2_1062182.scaffolds.fasta_scaffold01753_25-32-354.fasta
117,sequences/UPI00073A9C55-18-358.fasta
118,sequences/UPI00024A694A-152-434.fasta
119,sequences/UPI00046503A8-32-423.fasta
120,sequences/LSQX01.1.fsa_nt_gb|LSQX01010596.1|_1-48-328.fasta
121,sequences/LSQX01.1.fsa_nt_gb|LSQX01056708.1|_1-23-397.fasta
122,sequences/UPI000006C63E-38-393.fasta
123,sequences/UPI00022D50F5-220-593.fasta
124,sequences/UPI00059717EA-626-887.fasta
125,sequences/UPI0000F19229-70-399.fasta
126,sequences/UPI0001BED849-25-409.fasta
127,sequences/UPI00003643E1-50-434.fasta
128,sequences/UPI0003DFEC63-23-397.fasta
129,sequences/APFre7841882654_1041346.scaffolds.fasta_scaffold05538_4-30-315.fasta
130,sequences/UPI00079786A3-30-393.fasta
131,sequences/UPI00086AF3C1-24-335.fasta
132,sequences/YNPBryantNP2012_1023418.scaffolds.fasta_scaffold02555_8-173-548.fasta
133,sequences/OM-RGC.v1.004617450-12-354.fasta
134,sequences/MDTG01.2.fsa_nt_gb|MDTG01143467.1|_131-72-363.fasta
135,sequences/UPI0000521A12-25-469.fasta
136,sequences/UPI0004AB904D-26-436.fasta
137,sequences/DewCreStandDraft_4_1066084.scaffolds.fasta_scaffold00030_8-19-384.fasta
138,sequences/UPI0005AB39A6-24-406.fasta
139,sequences/1186.fasta_scaffold33111_2-54-368.fasta
140,sequences/UPI0001DCB28E-1393-1802.fasta
141,sequences/GraSoiStandDraft_15_1057317.scaffolds.fasta_scaffold40222_2-15-387.fasta
142,sequences/OM-RGC.v1.004758343-5-292.fasta
143,sequences/JI10StandDraft_1071094.scaffolds.fasta_scaffold102213_3-18-384.fasta
144,sequences/O1105metagenome_2_1110794.scaffolds.fasta_scaffold24420_1-12-302.fasta
145,sequences/UPI0007481B30-12-297.fasta
146,sequences/APAra7269097559_1048567.scaffolds.fasta_scaffold00002_704-30-292.fasta
147,sequences/UPI0002B36997-52-340.fasta
148,sequences/UPI00047ADB3C-69-361.fasta
149,sequences/UPI00036810FE-2-432.fasta
150,sequences/tagenome__1003787_1003787.scaffolds.fasta_scaffold20492626_1-35-309.fasta
151,sequences/OM-RGC.v1.002475958-69-388.fasta
152,sequences/UPI00018866FB-54-453.fasta
153,sequences/UPI000728E9F7-25-334.fasta
154,sequences/UPI0006AB0315-47-446.fasta
155,sequences/UPI000319F63C-28-291.fasta
156,sequences/CXWK01.1.fsa_nt_gi|952706589|emb|CXWK01026266.1|_4-28-376.fasta
157,sequences/JXWR01.1.fsa_nt_gb|JXWR01009072.1|_1-71-455.fasta
158,sequences/MDTB01.3.fsa_nt_gb|MDTB01185419.1|_4-21-384.fasta
159,sequences/UPI000826C263-62-425.fasta
160,sequences/OM-RGC.v1.002257756-24-418.fasta
161,sequences/RhiMethySRZTD1v2_1073278.scaffolds.fasta_scaffold197543_2-31-413.fasta
162,sequences/UPI0003F6D9A9-300-780.fasta
163,sequences/Cm827metagenome_2_1110796.scaffolds.fasta_scaffold00136_46-63-385.fasta
164,sequences/UPI00003F1F0C-136-442.fasta
165,sequences/UPI0004560020-58-420.fasta
166,sequences/GraSoiStandDraft_46_1057282.scaffolds.fasta_scaffold78516_1-182-561.fasta
167,sequences/UPI00073B0470-60-346.fasta
