,path
0,sequences/GraSoiStandDraft_16_1057320.scaffolds.fasta_scaffold229579_2-56-334.fasta
1,sequences/RhiMetdeSRZDD1v2_1073273.scaffolds.fasta_scaffold500181_2-18-361.fasta
2,sequences/ETNmetMinimDraft_22_1059887.scaffolds.fasta_scaffold01614_4-36-388.fasta
3,sequences/HubBroStandDraft_3_1064219.scaffolds.fasta_scaffold23331_2-131-408.fasta
4,sequences/UPI0006AB4F6B-35-423.fasta
5,sequences/UPI000353AD4D-31-296.fasta
6,sequences/GraSoiStandDraft_1057264.scaffolds.fasta_scaffold101962_1-126-418.fasta
7,sequences/UPI0007A9AC0C-17-339.fasta
8,sequences/GraSoiStandDraft_48_1057284.scaffolds.fasta_scaffold17196_2-143-436.fasta
9,sequences/MDTD01.2.fsa_nt_gb|MDTD01161100.1|_3-40-334.fasta
10,sequences/PorBlaMBantryBay_2_1084458.scaffolds.fasta_scaffold08691_3-77-411.fasta
11,sequences/UPI0002C7FD94-62-475.fasta
12,sequences/UPI00032D0FC9-28-333.fasta
13,sequences/SoiMethySBSTD1v2_1073268.scaffolds.fasta_scaffold22319_1-55-378.fasta
14,sequences/Cm827metagenome_2_1110796.scaffolds.fasta_scaffold00178_38-42-432.fasta
15,sequences/UPI0007BD9FEF-32-442.fasta
16,sequences/OM-RGC.v1.000554115-24-363.fasta
17,sequences/UPI00051AD6D2-68-376.fasta
18,sequences/GluameStandDraft_1065615.scaffolds.fasta_scaffold07156_3-19-389.fasta
19,sequences/YNPBryBLVA2012_1023415.scaffolds.fasta_scaffold00020_33-36-346.fasta
20,sequences/LFRM01.1.fsa_nt_gb|LFRM01017940.1|_1-90-442.fasta
21,sequences/SoimicmetaTmtLPC_FD_contig_101_218288_length_3498_multi_3_in_0_out_0_2-38-416.fasta
22,sequences/UPI0001E0D63A-71-405.fasta
23,sequences/Wag4MinimDraft_6_1082665.scaffolds.fasta_scaffold01610_3-20-419.fasta
24,sequences/UPI00004D08A9-22-415.fasta
25,sequences/AraplaCL_Col_mLB_1032031.scaffolds.fasta_scaffold00012_111-29-419.fasta
26,sequences/APDOM4702015118_1054815.scaffolds.fasta_scaffold45544_1-33-286.fasta
27,sequences/OM-RGC.v1.003976982-62-358.fasta
28,sequences/KBSMisStaDraftv2_1062788.scaffolds.fasta_scaffold06697_3-390-720.fasta
29,sequences/JFJP01.1.fsa_nt_gi|907755643|gb|JFJP01012195.1|_10-438-714.fasta
30,sequences/UPI00073FDD9E-45-338.fasta
31,sequences/UPI00076A6BE4-62-320.fasta
32,sequences/UPI0001E095E5-28-428.fasta
33,sequences/UPI00062001B2-62-374.fasta
34,sequences/OM-RGC.v1.002462261-27-327.fasta
35,sequences/UPI00069B16CE-58-367.fasta
36,sequences/GraSoiStandDraft_9_1057307.scaffolds.fasta_scaffold100223_1-47-432.fasta
37,sequences/UPI00046D73BE-36-372.fasta
38,sequences/RhiMetdeSRZDD1v2_1073273.scaffolds.fasta_scaffold129633_4-82-338.fasta
39,sequences/UPI00004D21B1-59-459.fasta
40,sequences/UPI0001CDBD91-21-412.fasta
41,sequences/APLak6261666879_1056058.scaffolds.fasta_scaffold03453_2-58-323.fasta
42,sequences/UPI00089978AB-23-409.fasta
43,sequences/UPI0008B58CFA-196-528.fasta
44,sequences/UPI0006F889B4-37-396.fasta
45,sequences/OM-RGC.v1.007193573-33-297.fasta
46,sequences/LauGreDrversion4_2_1035121.scaffolds.fasta_scaffold26060_3-206-510.fasta
47,sequences/UPI00059A7DE6-29-423.fasta
48,sequences/UPI00026DF274-55-316.fasta
49,sequences/LAHS01.1.fsa_nt_gb|LAHS01006682.1|_7-13-400.fasta
50,sequences/UPI00067F4D16-25-411.fasta
51,sequences/L827metagenome_2_1110789.scaffolds.fasta_scaffold23373_2-11-295.fasta
52,sequences/GraSoiStandDraft_58_1057296.scaffolds.fasta_scaffold114065_2-3-350.fasta
53,sequences/KBSSwiStaDraftv2_1062776.scaffolds.fasta_scaffold75556_2-31-413.fasta
54,sequences/Go1ome_3_1110792.scaffolds.fasta_scaffold00142_58-49-431.fasta
55,sequences/GraSoiStandDraft_60_1057301.scaffolds.fasta_scaffold05256_7-53-318.fasta
56,sequences/GraSoiStandDraft_23_1057293.scaffolds.fasta_scaffold47571_2-317-614.fasta
57,sequences/ThiBio_1000_plan_1041568.scaffolds.fasta_scaffold10663_3-34-441.fasta
58,sequences/UPI000853293A-55-353.fasta
59,sequences/UPI000799A0D6-18-526.fasta
60,sequences/NGEPerStandDraft_8_1074529.scaffolds.fasta_scaffold00325_4-43-368.fasta
61,sequences/UPI0003B43534-35-330.fasta
62,sequences/GraSoiStandDraft_4_1057263.scaffolds.fasta_scaffold214826_2-63-349.fasta
63,sequences/RhiMethySRZTD1v2_1073278.scaffolds.fasta_scaffold73811_2-35-327.fasta
64,sequences/KBSMisStandDraft_5_1062788.scaffolds.fasta_scaffold103233_3-12-312.fasta
65,sequences/HigsolmetaAR202D_1030399.scaffolds.fasta_scaffold00085_40-71-423.fasta
66,sequences/UPI000694B626-530-837.fasta
67,sequences/UPI00047B424C-38-335.fasta
68,sequences/UPI0004C4394B-53-310.fasta
69,sequences/UPI0004BEA73D-13-354.fasta
70,sequences/UPI0005C12160-58-384.fasta
71,sequences/InofroStandDraft_1065614.scaffolds.fasta_scaffold00671_5-49-389.fasta
72,sequences/UPI00021EE810-47-310.fasta
73,sequences/tagenome__1003787_1003787.scaffolds.fasta_scaffold20890656_3-26-354.fasta
74,sequences/YelNatPaOPRAMG01_1025707.scaffolds.fasta_scaffold03147_9-59-477.fasta
75,sequences/UPI0008D71320-90-369.fasta
76,sequences/GraSoiStandDraft_14_1057315.scaffolds.fasta_scaffold243008_1-75-381.fasta
77,sequences/UPI00061E7EBD-71-417.fasta
78,sequences/UPI00051BC72D-64-488.fasta
79,sequences/UPI0005F605F1-34-500.fasta
80,sequences/UPI00053F85E6-72-376.fasta
81,sequences/UPI0001BF701C-21-441.fasta
82,sequences/GraSoiStandDraft_4_1057263.scaffolds.fasta_scaffold369461_1-18-306.fasta
83,sequences/UPI0007B9F064-892-1295.fasta
84,sequences/OM-RGC.v1.000719194-18-342.fasta
85,sequences/GraSoiStandDraft_32_1057276.scaffolds.fasta_scaffold309425_1-36-363.fasta
86,sequences/UPI00000A9D43-47-444.fasta
87,sequences/OM-RGC.v1.003603352-72-374.fasta
88,sequences/UPI00040F9625-57-447.fasta
89,sequences/UPI0008035BDC-37-433.fasta
90,sequences/UPI00072E0EBD-1331-1734.fasta
91,sequences/UPI0008BDED8E-64-338.fasta
92,sequences/LSQX01.1.fsa_nt_gb|LSQX01117656.1|_4-26-412.fasta
93,sequences/UPI0005C40D28-62-399.fasta
94,sequences/UPI00080FEE69-71-426.fasta
95,sequences/MDSW01.1.fsa_nt_gb|MDSW01033934.1|_2-186-610.fasta
96,sequences/UPI00076C0B98-55-443.fasta
97,sequences/UPI0003568F5E-321-724.fasta
98,sequences/UPI0005070A4A-211-587.fasta
99,sequences/UPI0007A9C709-262-574.fasta
100,sequences/UPI0002202E5F-66-471.fasta
101,sequences/OM-RGC.v1.006112102-45-309.fasta
102,sequences/JI6StandDraft_1071083.scaffolds.fasta_scaffold05160_6-59-365.fasta
103,sequences/JI10StandDraft_1071094.scaffolds.fasta_scaffold84947_1-58-315.fasta
104,sequences/UPI000859ABFF-19-416.fasta
105,sequences/UPI0006F79E70-15-371.fasta
106,sequences/UPI00003910E3-40-410.fasta
107,sequences/DewCreStandDraft_5_1066085.scaffolds.fasta_scaffold02090_3-97-372.fasta
108,sequences/UPI000882C477-25-425.fasta
109,sequences/UPI0008718CB2-271-531.fasta
110,sequences/JI6StandDraft_1071083.scaffolds.fasta_scaffold180974_2-71-316.fasta
111,sequences/SoiMethySBSTD1v2_1073268.scaffolds.fasta_scaffold36742_5-78-329.fasta
112,sequences/UPI000772E448-18-361.fasta
113,sequences/UPI0003609231-7-366.fasta
114,sequences/UPI00038925FA-62-430.fasta
115,sequences/APAra7269097451_1048561.scaffolds.fasta_scaffold03642_2-47-342.fasta
116,sequences/OM-RGC.v1.003734631-38-339.fasta
117,sequences/GraSoiStandDraft_9_1057307.scaffolds.fasta_scaffold109162_2-32-415.fasta
118,sequences/688.fasta_scaffold06605_6-35-307.fasta
119,sequences/UPI0007C9E141-77-357.fasta
120,sequences/UPI0004EB23CB-573-963.fasta
121,sequences/UPI000646BA65-26-445.fasta
122,sequences/UPI00059957C7-83-601.fasta
123,sequences/ETNmetMinimDraft_27_1059897.scaffolds.fasta_scaffold10120_1-33-348.fasta
124,sequences/UPI000326A096-32-396.fasta
125,sequences/UPI0002ED6CC3-30-428.fasta
126,sequences/HubBroStandDraft_5_1064220.scaffolds.fasta_scaffold11505_3-69-352.fasta
127,sequences/UPI0008814536-102-359.fasta
128,sequences/UPI00055FE664-39-406.fasta
129,sequences/UPI0002593985-30-382.fasta
130,sequences/KBSSwiStaDraftv2_1062776.scaffolds.fasta_scaffold02374_18-38-311.fasta
131,sequences/AraplaMF_Cvi_mLB_1032043.scaffolds.fasta_scaffold00274_3-324-614.fasta
132,sequences/tagenome__1003787_1003787.scaffolds.fasta_scaffold20798688_2-47-344.fasta
133,sequences/EndMetStandDraft_8_1072994.scaffolds.fasta_scaffold14143_1-37-345.fasta
134,sequences/UPI0005035D29-55-334.fasta
135,sequences/AMFJ01.1.fsa_nt_gi|407001964|gb|AMFJ01003188.1|_6-37-371.fasta
136,sequences/APHig6443717497_1056834.scaffolds.fasta_scaffold75592_2-72-342.fasta
137,sequences/UPI00082D6F52-19-409.fasta
138,sequences/UPI00041B0E31-86-429.fasta
139,sequences/MucameStandDraft_1065616.scaffolds.fasta_scaffold09352_1-205-472.fasta
140,sequences/UPI0007BE1E79-180-541.fasta
