,path
73,test_sequence_dataset/W9YJ06.fasta
0,test_sequence_dataset/W7AVA2.fasta
7,test_sequence_dataset/W7HUU5.fasta
9,test_sequence_dataset/W7IVY8.fasta
46,test_sequence_dataset/W9CK44.fasta
4,test_sequence_dataset/W7HIG9.fasta
89,test_sequence_dataset/X6GBL8.fasta
47,test_sequence_dataset/W9CQ81.fasta
21,test_sequence_dataset/W7SVE6.fasta
74,test_sequence_dataset/W9YYF1.fasta
76,test_sequence_dataset/W9ZKY4.fasta
92,test_sequence_dataset/X6L011.fasta
66,test_sequence_dataset/W9WAV4.fasta
28,test_sequence_dataset/W7UUK9.fasta
54,test_sequence_dataset/W9QW02.fasta
80,test_sequence_dataset/X0LMT4.fasta
36,test_sequence_dataset/W8F6Y0.fasta
62,test_sequence_dataset/W9S4F5.fasta
81,test_sequence_dataset/X0MTY1.fasta
85,test_sequence_dataset/X4ZXV2.fasta
13,test_sequence_dataset/W7M0H0.fasta
16,test_sequence_dataset/W7MWE9.fasta
35,test_sequence_dataset/W8EZI0.fasta
71,test_sequence_dataset/W9XNZ1.fasta
79,test_sequence_dataset/X0JUJ3.fasta
88,test_sequence_dataset/X6DWS7.fasta
84,test_sequence_dataset/X4ZR37.fasta
29,test_sequence_dataset/W7UXM6.fasta
1,test_sequence_dataset/W6Z5X4.fasta
95,test_sequence_dataset/X8JMN7.fasta
87,test_sequence_dataset/X5MNY9.fasta
59,test_sequence_dataset/W9RZ82.fasta
48,test_sequence_dataset/W9CQE9.fasta
65,test_sequence_dataset/W9VWM0.fasta
93,test_sequence_dataset/X8J5D3.fasta
25,test_sequence_dataset/W7TW19.fasta
68,test_sequence_dataset/W9WKD4.fasta
17,test_sequence_dataset/W7NCW9.fasta
20,test_sequence_dataset/W7SV29.fasta
91,test_sequence_dataset/X6KFP9.fasta
